dteday,season,yr,hr,weekday,rider_type,riders,price,COGS,revenue,profit
1/10/2021,4,0,2,6,casual,21,3.99,1.24,83.79,82.55
1/10/2021,4,0,2,6,registered,46,3.99,1.24,183.54,182.3
1/10/2021,4,0,20,6,casual,8,3.99,1.24,31.92,30.68
1/10/2021,4,0,20,6,registered,58,3.99,1.24,231.42,230.18
1/10/2021,4,0,21,6,casual,3,3.99,1.24,11.97,10.73
1/10/2021,4,0,21,6,registered,53,3.99,1.24,211.47,210.23
1/10/2021,4,0,22,6,casual,12,3.99,1.24,47.88,46.64
1/10/2021,4,0,22,6,registered,58,3.99,1.24,231.42,230.18
1/10/2021,4,0,23,6,casual,8,3.99,1.24,31.92,30.68
1/10/2021,4,0,23,6,registered,57,3.99,1.24,227.43,226.19
1/10/2021,4,0,3,6,casual,8,3.99,1.24,31.92,30.68
1/10/2021,4,0,3,6,registered,17,3.99,1.24,67.83,66.59
1/10/2021,4,0,4,6,casual,2,3.99,1.24,7.98,6.74
1/10/2021,4,0,4,6,registered,6,3.99,1.24,23.94,22.7
1/10/2021,4,0,5,6,casual,1,3.99,1.24,3.99,2.75
1/10/2021,4,0,5,6,registered,4,3.99,1.24,15.96,14.72
1/10/2021,4,0,6,6,casual,4,3.99,1.24,15.96,14.72
1/10/2021,4,0,6,6,registered,15,3.99,1.24,59.85,58.61
1/10/2021,4,0,7,6,casual,6,3.99,1.24,23.94,22.7
1/10/2021,4,0,7,6,registered,30,3.99,1.24,119.7,118.46
1/10/2021,4,0,8,6,casual,9,3.99,1.24,35.91,34.67
1/10/2021,4,0,8,6,registered,58,3.99,1.24,231.42,230.18
1/10/2021,4,0,9,6,casual,17,3.99,1.24,67.83,66.59
1/10/2021,4,0,9,6,registered,112,3.99,1.24,446.88,445.64
1/11/2021,4,0,0,2,casual,3,3.99,1.24,11.97,10.73
1/11/2021,4,0,0,2,registered,18,3.99,1.24,71.82,70.58
1/11/2021,4,0,1,2,casual,3,3.99,1.24,11.97,10.73
1/11/2021,4,0,1,2,registered,8,3.99,1.24,31.92,30.68
1/11/2021,4,0,10,2,casual,21,3.99,1.24,83.79,82.55
1/11/2021,4,0,10,2,registered,114,3.99,1.24,454.86,453.62
1/11/2021,4,0,11,2,casual,16,3.99,1.24,63.84,62.6
1/11/2021,4,0,11,2,registered,101,3.99,1.24,402.99,401.75
1/11/2021,4,0,12,2,casual,23,3.99,1.24,91.77,90.53
1/11/2021,4,0,12,2,registered,153,3.99,1.24,610.47,609.23
1/11/2021,4,0,13,2,casual,20,3.99,1.24,79.8,78.56
1/11/2021,4,0,13,2,registered,147,3.99,1.24,586.53,585.29
1/11/2021,4,0,14,2,casual,32,3.99,1.24,127.68,126.44
1/11/2021,4,0,14,2,registered,118,3.99,1.24,470.82,469.58
1/11/2021,4,0,15,2,casual,38,3.99,1.24,151.62,150.38
1/11/2021,4,0,15,2,registered,148,3.99,1.24,590.52,589.28
1/11/2021,4,0,16,2,casual,46,3.99,1.24,183.54,182.3
1/11/2021,4,0,16,2,registered,252,3.99,1.24,1005.48,1004.24
1/11/2021,4,0,17,2,casual,36,3.99,1.24,143.64,142.4
1/11/2021,4,0,17,2,registered,470,3.99,1.24,1875.3,1874.06
1/11/2021,4,0,18,2,casual,39,3.99,1.24,155.61,154.37
1/11/2021,4,0,18,2,registered,421,3.99,1.24,1679.79,1678.55
1/11/2021,4,0,19,2,casual,39,3.99,1.24,155.61,154.37
1/11/2021,4,0,19,2,registered,274,3.99,1.24,1093.26,1092.02
1/11/2021,4,0,2,2,casual,1,3.99,1.24,3.99,2.75
1/11/2021,4,0,2,2,registered,3,3.99,1.24,11.97,10.73
1/11/2021,4,0,20,2,casual,18,3.99,1.24,71.82,70.58
1/11/2021,4,0,20,2,registered,191,3.99,1.24,762.09,760.85
1/11/2021,4,0,21,2,casual,13,3.99,1.24,51.87,50.63
1/11/2021,4,0,21,2,registered,114,3.99,1.24,454.86,453.62
1/11/2021,4,0,22,2,casual,5,3.99,1.24,19.95,18.71
1/11/2021,4,0,22,2,registered,91,3.99,1.24,363.09,361.85
1/11/2021,4,0,23,2,casual,11,3.99,1.24,43.89,42.65
1/11/2021,4,0,23,2,registered,61,3.99,1.24,243.39,242.15
1/11/2021,4,0,3,2,casual,1,3.99,1.24,3.99,2.75
1/11/2021,4,0,3,2,registered,5,3.99,1.24,19.95,18.71
1/11/2021,4,0,4,2,casual,1,3.99,1.24,3.99,2.75
1/11/2021,4,0,4,2,registered,7,3.99,1.24,27.93,26.69
1/11/2021,4,0,5,2,casual,0,3.99,1.24,0,-1.24
1/11/2021,4,0,5,2,registered,18,3.99,1.24,71.82,70.58
1/11/2021,4,0,6,2,casual,3,3.99,1.24,11.97,10.73
1/11/2021,4,0,6,2,registered,90,3.99,1.24,359.1,357.86
1/11/2021,4,0,7,2,casual,8,3.99,1.24,31.92,30.68
1/11/2021,4,0,7,2,registered,246,3.99,1.24,981.54,980.3
1/11/2021,4,0,8,2,casual,17,3.99,1.24,67.83,66.59
1/11/2021,4,0,8,2,registered,402,3.99,1.24,1603.98,1602.74
1/11/2021,4,0,9,2,casual,16,3.99,1.24,63.84,62.6
1/11/2021,4,0,9,2,registered,206,3.99,1.24,821.94,820.7
1/12/2021,4,0,0,4,casual,1,3.99,1.24,3.99,2.75
1/12/2021,4,0,0,4,registered,19,3.99,1.24,75.81,74.57
1/12/2021,4,0,1,4,casual,1,3.99,1.24,3.99,2.75
1/12/2021,4,0,1,4,registered,9,3.99,1.24,35.91,34.67
1/12/2021,4,0,10,4,casual,7,3.99,1.24,27.93,26.69
1/12/2021,4,0,10,4,registered,86,3.99,1.24,343.14,341.9
1/12/2021,4,0,11,4,casual,7,3.99,1.24,27.93,26.69
1/12/2021,4,0,11,4,registered,95,3.99,1.24,379.05,377.81
1/12/2021,4,0,12,4,casual,9,3.99,1.24,35.91,34.67
1/12/2021,4,0,12,4,registered,139,3.99,1.24,554.61,553.37
1/12/2021,4,0,13,4,casual,17,3.99,1.24,67.83,66.59
1/12/2021,4,0,13,4,registered,137,3.99,1.24,546.63,545.39
1/12/2021,4,0,14,4,casual,20,3.99,1.24,79.8,78.56
1/12/2021,4,0,14,4,registered,130,3.99,1.24,518.7,517.46
1/12/2021,4,0,15,4,casual,10,3.99,1.24,39.9,38.66
1/12/2021,4,0,15,4,registered,144,3.99,1.24,574.56,573.32
1/12/2021,4,0,16,4,casual,9,3.99,1.24,35.91,34.67
1/12/2021,4,0,16,4,registered,192,3.99,1.24,766.08,764.84
1/12/2021,4,0,17,4,casual,9,3.99,1.24,35.91,34.67
1/12/2021,4,0,17,4,registered,409,3.99,1.24,1631.91,1630.67
1/12/2021,4,0,18,4,casual,12,3.99,1.24,47.88,46.64
1/12/2021,4,0,18,4,registered,393,3.99,1.24,1568.07,1566.83
1/12/2021,4,0,19,4,casual,9,3.99,1.24,35.91,34.67
1/12/2021,4,0,19,4,registered,219,3.99,1.24,873.81,872.57
1/12/2021,4,0,2,4,casual,1,3.99,1.24,3.99,2.75
1/12/2021,4,0,2,4,registered,8,3.99,1.24,31.92,30.68
1/12/2021,4,0,20,4,casual,12,3.99,1.24,47.88,46.64
1/12/2021,4,0,20,4,registered,178,3.99,1.24,710.22,708.98
1/12/2021,4,0,21,4,casual,8,3.99,1.24,31.92,30.68
1/12/2021,4,0,21,4,registered,154,3.99,1.24,614.46,613.22
1/12/2021,4,0,22,4,casual,5,3.99,1.24,19.95,18.71
1/12/2021,4,0,22,4,registered,99,3.99,1.24,395.01,393.77
1/12/2021,4,0,23,4,casual,3,3.99,1.24,11.97,10.73
1/12/2021,4,0,23,4,registered,70,3.99,1.24,279.3,278.06
1/12/2021,4,0,3,4,casual,1,3.99,1.24,3.99,2.75
1/12/2021,4,0,3,4,registered,6,3.99,1.24,23.94,22.7
1/12/2021,4,0,4,4,casual,0,3.99,1.24,0,-1.24
1/12/2021,4,0,4,4,registered,1,3.99,1.24,3.99,2.75
1/12/2021,4,0,5,4,casual,1,3.99,1.24,3.99,2.75
1/12/2021,4,0,5,4,registered,23,3.99,1.24,91.77,90.53
1/12/2021,4,0,6,4,casual,5,3.99,1.24,19.95,18.71
1/12/2021,4,0,6,4,registered,92,3.99,1.24,367.08,365.84
1/12/2021,4,0,7,4,casual,11,3.99,1.24,43.89,42.65
1/12/2021,4,0,7,4,registered,265,3.99,1.24,1057.35,1056.11
1/12/2021,4,0,8,4,casual,15,3.99,1.24,59.85,58.61
1/12/2021,4,0,8,4,registered,462,3.99,1.24,1843.38,1842.14
1/12/2021,4,0,9,4,casual,9,3.99,1.24,35.91,34.67
1/12/2021,4,0,9,4,registered,215,3.99,1.24,857.85,856.61
1/2/2021,1,0,0,2,casual,2,3.99,1.24,7.98,6.74
1/2/2021,1,0,0,2,registered,6,3.99,1.24,23.94,22.7
1/2/2021,1,0,1,2,casual,0,3.99,1.24,0,-1.24
1/2/2021,1,0,1,2,registered,3,3.99,1.24,11.97,10.73
1/2/2021,1,0,10,2,casual,0,3.99,1.24,0,-1.24
1/2/2021,1,0,10,2,registered,47,3.99,1.24,187.53,186.29
1/2/2021,1,0,11,2,casual,2,3.99,1.24,7.98,6.74
1/2/2021,1,0,11,2,registered,49,3.99,1.24,195.51,194.27
1/2/2021,1,0,12,2,casual,2,3.99,1.24,7.98,6.74
1/2/2021,1,0,12,2,registered,53,3.99,1.24,211.47,210.23
1/2/2021,1,0,13,2,casual,3,3.99,1.24,11.97,10.73
1/2/2021,1,0,13,2,registered,49,3.99,1.24,195.51,194.27
1/2/2021,1,0,14,2,casual,5,3.99,1.24,19.95,18.71
1/2/2021,1,0,14,2,registered,49,3.99,1.24,195.51,194.27
1/2/2021,1,0,15,2,casual,7,3.99,1.24,27.93,26.69
1/2/2021,1,0,15,2,registered,45,3.99,1.24,179.55,178.31
1/2/2021,1,0,16,2,casual,3,3.99,1.24,11.97,10.73
1/2/2021,1,0,16,2,registered,61,3.99,1.24,243.39,242.15
1/2/2021,1,0,17,2,casual,4,3.99,1.24,15.96,14.72
1/2/2021,1,0,17,2,registered,172,3.99,1.24,686.28,685.04
1/2/2021,1,0,18,2,casual,3,3.99,1.24,11.97,10.73
1/2/2021,1,0,18,2,registered,165,3.99,1.24,658.35,657.11
1/2/2021,1,0,19,2,casual,3,3.99,1.24,11.97,10.73
1/2/2021,1,0,19,2,registered,105,3.99,1.24,418.95,417.71
1/2/2021,1,0,2,2,casual,0,3.99,1.24,0,-1.24
1/2/2021,1,0,2,2,registered,2,3.99,1.24,7.98,6.74
1/2/2021,1,0,20,2,casual,5,3.99,1.24,19.95,18.71
1/2/2021,1,0,20,2,registered,69,3.99,1.24,275.31,274.07
1/2/2021,1,0,21,2,casual,0,3.99,1.24,0,-1.24
1/2/2021,1,0,21,2,registered,64,3.99,1.24,255.36,254.12
1/2/2021,1,0,22,2,casual,2,3.99,1.24,7.98,6.74
1/2/2021,1,0,22,2,registered,34,3.99,1.24,135.66,134.42
1/2/2021,1,0,23,2,casual,1,3.99,1.24,3.99,2.75
1/2/2021,1,0,23,2,registered,15,3.99,1.24,59.85,58.61
1/2/2021,1,0,3,2,casual,0,3.99,1.24,0,-1.24
1/2/2021,1,0,3,2,registered,2,3.99,1.24,7.98,6.74
1/2/2021,1,0,5,2,casual,0,3.99,1.24,0,-1.24
1/2/2021,1,0,5,2,registered,3,3.99,1.24,11.97,10.73
1/2/2021,1,0,6,2,casual,0,3.99,1.24,0,-1.24
1/2/2021,1,0,6,2,registered,22,3.99,1.24,87.78,86.54
1/2/2021,1,0,7,2,casual,0,3.99,1.24,0,-1.24
1/2/2021,1,0,7,2,registered,52,3.99,1.24,207.48,206.24
1/2/2021,1,0,8,2,casual,3,3.99,1.24,11.97,10.73
1/2/2021,1,0,8,2,registered,132,3.99,1.24,526.68,525.44
1/2/2021,1,0,9,2,casual,2,3.99,1.24,7.98,6.74
1/2/2021,1,0,9,2,registered,114,3.99,1.24,454.86,453.62
1/3/2021,1,0,0,2,casual,0,3.99,1.24,0,-1.24
1/3/2021,1,0,0,2,registered,7,3.99,1.24,27.93,26.69
1/3/2021,1,0,1,2,casual,0,3.99,1.24,0,-1.24
1/3/2021,1,0,1,2,registered,3,3.99,1.24,11.97,10.73
1/3/2021,1,0,10,2,casual,13,3.99,1.24,51.87,50.63
1/3/2021,1,0,10,2,registered,55,3.99,1.24,219.45,218.21
1/3/2021,1,0,11,2,casual,8,3.99,1.24,31.92,30.68
1/3/2021,1,0,11,2,registered,48,3.99,1.24,191.52,190.28
1/3/2021,1,0,12,2,casual,6,3.99,1.24,23.94,22.7
1/3/2021,1,0,12,2,registered,80,3.99,1.24,319.2,317.96
1/3/2021,1,0,13,2,casual,13,3.99,1.24,51.87,50.63
1/3/2021,1,0,13,2,registered,65,3.99,1.24,259.35,258.11
1/3/2021,1,0,14,2,casual,18,3.99,1.24,71.82,70.58
1/3/2021,1,0,14,2,registered,61,3.99,1.24,243.39,242.15
1/3/2021,1,0,15,2,casual,7,3.99,1.24,27.93,26.69
1/3/2021,1,0,15,2,registered,57,3.99,1.24,227.43,226.19
1/3/2021,1,0,16,2,casual,10,3.99,1.24,39.9,38.66
1/3/2021,1,0,16,2,registered,92,3.99,1.24,367.08,365.84
1/3/2021,1,0,17,2,casual,12,3.99,1.24,47.88,46.64
1/3/2021,1,0,17,2,registered,230,3.99,1.24,917.7,916.46
1/3/2021,1,0,18,2,casual,10,3.99,1.24,39.9,38.66
1/3/2021,1,0,18,2,registered,214,3.99,1.24,853.86,852.62
1/3/2021,1,0,19,2,casual,4,3.99,1.24,15.96,14.72
1/3/2021,1,0,19,2,registered,115,3.99,1.24,458.85,457.61
1/3/2021,1,0,2,2,casual,0,3.99,1.24,0,-1.24
1/3/2021,1,0,2,2,registered,4,3.99,1.24,15.96,14.72
1/3/2021,1,0,20,2,casual,2,3.99,1.24,7.98,6.74
1/3/2021,1,0,20,2,registered,86,3.99,1.24,343.14,341.9
1/3/2021,1,0,21,2,casual,8,3.99,1.24,31.92,30.68
1/3/2021,1,0,21,2,registered,55,3.99,1.24,219.45,218.21
1/3/2021,1,0,22,2,casual,3,3.99,1.24,11.97,10.73
1/3/2021,1,0,22,2,registered,44,3.99,1.24,175.56,174.32
1/3/2021,1,0,23,2,casual,2,3.99,1.24,7.98,6.74
1/3/2021,1,0,23,2,registered,23,3.99,1.24,91.77,90.53
1/3/2021,1,0,3,2,casual,0,3.99,1.24,0,-1.24
1/3/2021,1,0,3,2,registered,2,3.99,1.24,7.98,6.74
1/3/2021,1,0,4,2,casual,0,3.99,1.24,0,-1.24
1/3/2021,1,0,4,2,registered,1,3.99,1.24,3.99,2.75
1/3/2021,1,0,5,2,casual,1,3.99,1.24,3.99,2.75
1/3/2021,1,0,5,2,registered,1,3.99,1.24,3.99,2.75
1/3/2021,1,0,6,2,casual,0,3.99,1.24,0,-1.24
1/3/2021,1,0,6,2,registered,46,3.99,1.24,183.54,182.3
1/3/2021,1,0,7,2,casual,2,3.99,1.24,7.98,6.74
1/3/2021,1,0,7,2,registered,105,3.99,1.24,418.95,417.71
1/3/2021,1,0,8,2,casual,10,3.99,1.24,39.9,38.66
1/3/2021,1,0,8,2,registered,204,3.99,1.24,813.96,812.72
1/3/2021,1,0,9,2,casual,8,3.99,1.24,31.92,30.68
1/3/2021,1,0,9,2,registered,116,3.99,1.24,462.84,461.6
1/4/2021,2,0,0,5,casual,0,3.99,1.24,0,-1.24
1/4/2021,2,0,0,5,registered,6,3.99,1.24,23.94,22.7
1/4/2021,2,0,1,5,casual,0,3.99,1.24,0,-1.24
1/4/2021,2,0,1,5,registered,4,3.99,1.24,15.96,14.72
1/4/2021,2,0,10,5,casual,12,3.99,1.24,47.88,46.64
1/4/2021,2,0,10,5,registered,63,3.99,1.24,251.37,250.13
1/4/2021,2,0,11,5,casual,17,3.99,1.24,67.83,66.59
1/4/2021,2,0,11,5,registered,72,3.99,1.24,287.28,286.04
1/4/2021,2,0,12,5,casual,15,3.99,1.24,59.85,58.61
1/4/2021,2,0,12,5,registered,80,3.99,1.24,319.2,317.96
1/4/2021,2,0,13,5,casual,18,3.99,1.24,71.82,70.58
1/4/2021,2,0,13,5,registered,92,3.99,1.24,367.08,365.84
1/4/2021,2,0,14,5,casual,26,3.99,1.24,103.74,102.5
1/4/2021,2,0,14,5,registered,61,3.99,1.24,243.39,242.15
1/4/2021,2,0,15,5,casual,30,3.99,1.24,119.7,118.46
1/4/2021,2,0,15,5,registered,81,3.99,1.24,323.19,321.95
1/4/2021,2,0,16,5,casual,42,3.99,1.24,167.58,166.34
1/4/2021,2,0,16,5,registered,125,3.99,1.24,498.75,497.51
1/4/2021,2,0,17,5,casual,36,3.99,1.24,143.64,142.4
1/4/2021,2,0,17,5,registered,245,3.99,1.24,977.55,976.31
1/4/2021,2,0,18,5,casual,36,3.99,1.24,143.64,142.4
1/4/2021,2,0,18,5,registered,205,3.99,1.24,817.95,816.71
1/4/2021,2,0,19,5,casual,16,3.99,1.24,63.84,62.6
1/4/2021,2,0,19,5,registered,120,3.99,1.24,478.8,477.56
1/4/2021,2,0,2,5,casual,0,3.99,1.24,0,-1.24
1/4/2021,2,0,2,5,registered,7,3.99,1.24,27.93,26.69
1/4/2021,2,0,20,5,casual,2,3.99,1.24,7.98,6.74
1/4/2021,2,0,20,5,registered,75,3.99,1.24,299.25,298.01
1/4/2021,2,0,21,5,casual,9,3.99,1.24,35.91,34.67
1/4/2021,2,0,21,5,registered,84,3.99,1.24,335.16,333.92
1/4/2021,2,0,22,5,casual,10,3.99,1.24,39.9,38.66
1/4/2021,2,0,22,5,registered,64,3.99,1.24,255.36,254.12
1/4/2021,2,0,23,5,casual,12,3.99,1.24,47.88,46.64
1/4/2021,2,0,23,5,registered,41,3.99,1.24,163.59,162.35
1/4/2021,2,0,3,5,casual,0,3.99,1.24,0,-1.24
1/4/2021,2,0,3,5,registered,4,3.99,1.24,15.96,14.72
1/4/2021,2,0,4,5,casual,0,3.99,1.24,0,-1.24
1/4/2021,2,0,4,5,registered,3,3.99,1.24,11.97,10.73
1/4/2021,2,0,5,5,casual,1,3.99,1.24,3.99,2.75
1/4/2021,2,0,5,5,registered,11,3.99,1.24,43.89,42.65
1/4/2021,2,0,6,5,casual,2,3.99,1.24,7.98,6.74
1/4/2021,2,0,6,5,registered,26,3.99,1.24,103.74,102.5
1/4/2021,2,0,7,5,casual,4,3.99,1.24,15.96,14.72
1/4/2021,2,0,7,5,registered,91,3.99,1.24,363.09,361.85
1/4/2021,2,0,8,5,casual,8,3.99,1.24,31.92,30.68
1/4/2021,2,0,8,5,registered,198,3.99,1.24,790.02,788.78
1/4/2021,2,0,9,5,casual,11,3.99,1.24,43.89,42.65
1/4/2021,2,0,9,5,registered,162,3.99,1.24,646.38,645.14
1/5/2021,2,0,0,0,casual,19,3.99,1.24,75.81,74.57
1/5/2021,2,0,0,0,registered,77,3.99,1.24,307.23,305.99
1/5/2021,2,0,1,0,casual,9,3.99,1.24,35.91,34.67
1/5/2021,2,0,1,0,registered,50,3.99,1.24,199.5,198.26
1/5/2021,2,0,10,0,casual,109,3.99,1.24,434.91,433.67
1/5/2021,2,0,10,0,registered,155,3.99,1.24,618.45,617.21
1/5/2021,2,0,11,0,casual,109,3.99,1.24,434.91,433.67
1/5/2021,2,0,11,0,registered,141,3.99,1.24,562.59,561.35
1/5/2021,2,0,12,0,casual,109,3.99,1.24,434.91,433.67
1/5/2021,2,0,12,0,registered,172,3.99,1.24,686.28,685.04
1/5/2021,2,0,13,0,casual,123,3.99,1.24,490.77,489.53
1/5/2021,2,0,13,0,registered,209,3.99,1.24,833.91,832.67
1/5/2021,2,0,14,0,casual,85,3.99,1.24,339.15,337.91
1/5/2021,2,0,14,0,registered,153,3.99,1.24,610.47,609.23
1/5/2021,2,0,15,0,casual,113,3.99,1.24,450.87,449.63
1/5/2021,2,0,15,0,registered,153,3.99,1.24,610.47,609.23
1/5/2021,2,0,16,0,casual,75,3.99,1.24,299.25,298.01
1/5/2021,2,0,16,0,registered,139,3.99,1.24,554.61,553.37
1/5/2021,2,0,17,0,casual,60,3.99,1.24,239.4,238.16
1/5/2021,2,0,17,0,registered,136,3.99,1.24,542.64,541.4
1/5/2021,2,0,18,0,casual,33,3.99,1.24,131.67,130.43
1/5/2021,2,0,18,0,registered,126,3.99,1.24,502.74,501.5
1/5/2021,2,0,19,0,casual,47,3.99,1.24,187.53,186.29
1/5/2021,2,0,19,0,registered,131,3.99,1.24,522.69,521.45
1/5/2021,2,0,2,0,casual,7,3.99,1.24,27.93,26.69
1/5/2021,2,0,2,0,registered,43,3.99,1.24,171.57,170.33
1/5/2021,2,0,20,0,casual,35,3.99,1.24,139.65,138.41
1/5/2021,2,0,20,0,registered,86,3.99,1.24,343.14,341.9
1/5/2021,2,0,21,0,casual,23,3.99,1.24,91.77,90.53
1/5/2021,2,0,21,0,registered,82,3.99,1.24,327.18,325.94
1/5/2021,2,0,22,0,casual,32,3.99,1.24,127.68,126.44
1/5/2021,2,0,22,0,registered,68,3.99,1.24,271.32,270.08
1/5/2021,2,0,23,0,casual,64,3.99,1.24,255.36,254.12
1/5/2021,2,0,23,0,registered,82,3.99,1.24,327.18,325.94
1/5/2021,2,0,3,0,casual,8,3.99,1.24,31.92,30.68
1/5/2021,2,0,3,0,registered,15,3.99,1.24,59.85,58.61
1/5/2021,2,0,4,0,casual,6,3.99,1.24,23.94,22.7
1/5/2021,2,0,4,0,registered,11,3.99,1.24,43.89,42.65
1/5/2021,2,0,5,0,casual,0,3.99,1.24,0,-1.24
1/5/2021,2,0,5,0,registered,10,3.99,1.24,39.9,38.66
1/5/2021,2,0,6,0,casual,4,3.99,1.24,15.96,14.72
1/5/2021,2,0,6,0,registered,9,3.99,1.24,35.91,34.67
1/5/2021,2,0,7,0,casual,7,3.99,1.24,27.93,26.69
1/5/2021,2,0,7,0,registered,26,3.99,1.24,103.74,102.5
1/5/2021,2,0,8,0,casual,16,3.99,1.24,63.84,62.6
1/5/2021,2,0,8,0,registered,43,3.99,1.24,171.57,170.33
1/5/2021,2,0,9,0,casual,45,3.99,1.24,179.55,178.31
1/5/2021,2,0,9,0,registered,96,3.99,1.24,383.04,381.8
1/6/2021,2,0,0,3,casual,9,3.99,1.24,35.91,34.67
1/6/2021,2,0,0,3,registered,25,3.99,1.24,99.75,98.51
1/6/2021,2,0,1,3,casual,8,3.99,1.24,31.92,30.68
1/6/2021,2,0,1,3,registered,9,3.99,1.24,35.91,34.67
1/6/2021,2,0,10,3,casual,31,3.99,1.24,123.69,122.45
